"value","lang","property","count","alternative_label","alternative_lang"
professional organizational,en,hasSubject,12,,
professional research and science,en,hasSubject,12,,
Sonstiger Materialitätstyp,de,hasSubject,12,,
Streitige Zivilrechtssache,de,hasSubject,12,,
Theater,de,hasSubject,12,,
Verzeichnis,de,hasSubject,12,,
Vollmacht,de,hasSubject,12,,
Ausbildung,de,hasSubject,11,,
Bundesländer,de,hasSubject,11,,
D.J.ZAS,de,hasSubject,11,,
Föderalismus,de,hasSubject,11,,
Fotografien,de,hasSubject,11,,
Intertextualität,de,hasSubject,11,,
Kündigung,de,hasSubject,11,,
Literaturwissenschaft,de,hasSubject,11,,
Medienwissenschaft,de,hasSubject,11,,
Personalkommission,de,hasSubject,11,,
Rechtsgeschichte,de,hasSubject,11,,
Zeugenaussage,de,hasSubject,11,,
Abhandlung,de,hasSubject,10,,
Bericht,de,hasSubject,10,,
Betriebsrat,de,hasSubject,10,,
Burgfrieden,en,hasSubject,10,,
D.J.ABH,de,hasSubject,10,,
D.J.BER,de,hasSubject,10,,
D.J.KON,de,hasSubject,10,,
D.J.KSB,de,hasSubject,10,,
D.J.ZAT,de,hasSubject,10,,
D.J.ZUN,de,hasSubject,10,,
E.F.NIC,de,hasSubject,10,,
Friedensverhandlungen,de,hasSubject,10,,
Kassabestätigung,de,hasSubject,10,,
K.K.LIT,de,hasSubject,10,,
K.K.SCH,de,hasSubject,10,,
Konzept (jur.),de,hasSubject,10,,
Literarische Berichtigung,de,hasSubject,10,,
Nicht verfolgt,de,hasSubject,10,,
"Schober, 15. Juli 1927",de,hasSubject,10,,
Staatsangestelltenkammer,de,hasSubject,10,,
Ungleichbehandlung,de,hasSubject,10,,
Zahlungsauftrag,de,hasSubject,10,,
Zurücknahme,de,hasSubject,10,,
"Berliner Tageblatt, Kerr, Wolff",de,hasSubject,9,,
D.J.LIS,de,hasSubject,9,,
D.J.VER,de,hasSubject,9,,
D.J.ZEB,de,hasSubject,9,,
D.K.RAD,de,hasSubject,9,,
Gemeindewahlrecht,de,hasSubject,9,,
K.K.BER,de,hasSubject,9,,
Lohnverhandlung,de,hasSubject,9,,
Militarismus,de,hasSubject,9,,
Privatrecht,de,hasSubject,9,,
Radiogramm,de,hasSubject,9,,
R.F.PRI,de,hasSubject,9,,
Typoskript mit handschriftlichen Mittelung,de,hasSubject,9,,
Vertrag,de,hasSubject,9,,
Zahlungseingangsbestätigung,de,hasSubject,9,,
Zeitung,de,hasSubject,9,,
Aktennotiz,de,hasSubject,8,,
Ansuchen,de,hasSubject,8,,
Aufstellung,de,hasSubject,8,,
D.J.AFS,de,hasSubject,8,,
D.J.AKN,de,hasSubject,8,,
D.J.ANS,de,hasSubject,8,,
Hofgericht,en,hasSubject,8,,
Kommissionsbezirk der Provinzstadt,en,hasSubject,8,,
Military Frontier,en,hasSubject,8,,
polyglot dictionary,,hasSubject,8,,
18. Jahrhundert,de,hasSubject,7,,
Abrechnung,de,hasSubject,7,,
Bibliographie,de,hasSubject,7,,
bibliography,en,hasSubject,7,,
Crownland,en,hasSubject,7,,
D.J.ABR,de,hasSubject,7,,
D.J.ANW,de,hasSubject,7,,
D.J.VSR,de,hasSubject,7,,
D.L,de,hasSubject,7,,
Korrespondenz,de,hasSubject,7,,
Liste (jur.),de,hasSubject,7,,
Literarischer Text,de,hasSubject,7,,
Publizistisches Dokument,de,hasSubject,7,,
Rechtsnachfolge,de,hasSubject,7,,
Sozialgeschichte,de,hasSubject,7,,
Tirol,de,hasSubject,7,,
Versetzung,de,hasSubject,7,,
Versicherung,de,hasSubject,7,,
Vertrauensmänner,de,hasSubject,7,,
Anfrage,de,hasSubject,6,,
Anweisung,de,hasSubject,6,,
Aufforderung,de,hasSubject,6,,
Berufungsschrift,de,hasSubject,6,,
D.J.AFD,de,hasSubject,6,,
D.J.ANF,de,hasSubject,6,,
D.J.BRS,de,hasSubject,6,,
D.J.EIN,de,hasSubject,6,,
D.J.GTS,de,hasSubject,6,,
D.J.KBS,de,hasSubject,6,,
D.J.KLB,de,hasSubject,6,,
D.J.RUK,de,hasSubject,6,,
D.J.SAT,de,hasSubject,6,,
D.K.NCH,de,hasSubject,6,,
D.K.UMS,de,hasSubject,6,,
E.F.ZUR,de,hasSubject,6,,
Einspruch,de,hasSubject,6,,
Fotografie (Mat.),de,hasSubject,6,,
Free City,en,hasSubject,6,,
Gesandtenkonferenz,de,hasSubject,6,,
Gutschrift,de,hasSubject,6,,
Hofmark,en,hasSubject,6,,
K.K.VER,de,hasSubject,6,,
Klagebeantwortung,de,hasSubject,6,,
Klagrückziehung,de,hasSubject,6,,
Kostenbestimmungsbeschluss,de,hasSubject,6,,
Nachricht,de,hasSubject,6,,
online site database,en,hasSubject,6,,
Politische Parteien,de,hasSubject,6,,
Republic,en,hasSubject,6,,
R.F.VER,de,hasSubject,6,,
Staatsangestelltenrat,de,hasSubject,6,,
Strafantrag,de,hasSubject,6,,
Straferkenntnis,de,hasSubject,6,,
Verlagswesen,de,hasSubject,6,,
Verwaltungsrecht,de,hasSubject,6,,
Zurückziehung der Klage,de,hasSubject,6,,
Archduchy,en,hasSubject,5,,
C.K.KOR,de,hasSubject,5,,
Crown Colony,en,hasSubject,5,,
C.Z.UNS,de,hasSubject,5,,
Disziplinarrecht,de,hasSubject,5,,
D.J.DOS,de,hasSubject,5,,
D.J.KSZ,de,hasSubject,5,,
Dossier,de,hasSubject,5,,
D.P,de,hasSubject,5,,
Druck mit handschriftlichen Überarbeitungen,de,hasSubject,5,,
E.F.EIN,de,hasSubject,5,,
Eingestellt,de,hasSubject,5,,
Entente,de,hasSubject,5,,
Kassazettel,de,hasSubject,5,,
Lebensumstände,de,hasSubject,5,,
Memorandum,de,hasSubject,5,,
Military District,en,hasSubject,5,,
Nachkriegskrise,de,hasSubject,5,,
Nationalität,de,hasSubject,5,,
Princely County,en,hasSubject,5,,
professional business conversation,en,hasSubject,5,,
professional research/science working group discussion,en,hasSubject,5,,
Provincial Government,en,hasSubject,5,,
Systemisierung,de,hasSubject,5,,
tschechoslowakische Regierung,de,hasSubject,5,,
Unstreitige Zivilrechtssache,de,hasSubject,5,,
Vergeltung,de,hasSubject,5,,
Zensur,de,hasSubject,5,,
Ablehnung,de,hasSubject,4,,
Anklage-Kundmachung,de,hasSubject,4,,
Anzeige,de,hasSubject,4,,
Arbeiterrätin,de,hasSubject,4,,
Aufgabeschein,de,hasSubject,4,,
Bekanntgabe,de,hasSubject,4,,
Berichtigung,de,hasSubject,4,,
Bundesverfassung,de,hasSubject,4,,
capacity,,hasSubject,4,,
CIDOC CRM,,hasSubject,4,,
Commissary District,en,hasSubject,4,,
Condominium,en,hasSubject,4,,
data integration,,hasSubject,4,,
District,en,hasSubject,4,,
D.J.ABL,de,hasSubject,4,,
D.J.AKU,de,hasSubject,4,,
D.J.ANZ,de,hasSubject,4,,
D.J.BEK,de,hasSubject,4,,
D.J.EGE,de,hasSubject,4,,
D.J.EXB,de,hasSubject,4,,
D.J.GPK,de,hasSubject,4,,
D.J.GUT,de,hasSubject,4,,
D.J.INF,de,hasSubject,4,,
D.J.MEM,de,hasSubject,4,,
