"value","lang","count"
Druck mit handschriftliche Annotationen/Notate/Notizen,de,2
D.S.LSZ,de,2
D.S.PLK,de,2
Durchschlag mit sonstigen Schreibspuren,de,2
Edition,de,2
E.F.AEE,de,2
E.F.GEL,de,2
Ehrenerklärung,de,2
Entschuldigung,de,2
Entwurf,de,2
Eröerterung,de,2
Ersatzanspruch,de,2
Exekutionsausweis,de,2
Expensen-Note,de,2
Falsche Zeugenaussage,de,2
fieldwork archive,en,2
Fotografie,de,2
Fotografie (Obj.),de,2
Friedrich Austerlitz,de,2
Fundbearbeitung,"",2
Gedicht,de,2
Geldstrafe,de,2
grave,en,2
group designations,en,2
Historical Network Research,en,2
Holy Roman Empire,en,2
Hüyücektepe,"",2
Internationales Postrecht,de,2
Kostennote,de,2
Lesezeichen,de,2
Leumundsnote,de,2
linked open data,"",2
Liste,de,2
Liste (korr.),de,2
Literarisches Werk,de,2
lithics,en,2
Lokalpolitik,de,2
Luftkrieg,de,2
Mandat (politisches),de,2
Manuskript mit handschriftlicher Mitteilung,de,2
"Mappe, M.S.MAP ",de,2
Marie Turnowsky,de,2
Marktgericht,en,2
material culture,"",2
Medieval Austria,en,2
Medieval Germany,en,2
Medieval Prosopography,en,2
Middle Ages,en,2
Mitschrift,de,2
Mitschriften,de,2
Occupied Territory,en,2
Ontologie,de,2
ontology,en,2
Order of the Golden Fleece,en,2
Personalrat,de,2
Plakat,de,2
pottery,en,2
pottery studies,"",2
Protectorate,en,2
Protest,de,2
quarry,en,2
Rechtsmittelanmeldung,de,2
Revisionsbeantwortung,de,2
Revisionsschrift,de,2
rockshelter,en,2
settlement,en,2
S.F.FRI,de,2
S.F.MAR,de,2
sights,en,2
small finds,"",2
small finds,en,2
Soziale Fürsorge,de,2
Squeezes,"",2
Tagebücher,de,2
Testament,de,2
T.F.BES,de,2
T.F.FZA,de,2
thesaurus,en,2
Tonaufnahmen,de,2
transcription conventions,en,2
Typoskript mit handschriftlichen Änderungen,de,2
Überweisung,de,2
Überweisungsbeschluss,de,2
Vereins- und Versammlungsfreiheit,de,2
Verfügung,de,2
Verlassenschaftsabhandlung,de,2
Verlautbarung,de,2
Verrechnung,de,2
Versammlung,de,2
Yeldeğirmentepe,"",2
Zahlungsverpflichtung,de,2
Zeitun,de,2
Zurückweisung (jur.),de,2
Zweiter Weltkrieg,de,2
"25er-Ausschuss; Fünfundzwanziger-Ausschuss",de,1
"3D models","",1
Alfred Kerr,de,1
Änderung,de,1
Arabic linguistics,en,1
archaeological database,en,1
archaeological sites,en,1
Auflösung des Vertrags,de,1
Ausbleiben der Rückzahlung,de,1
Ausschuss,de,1
Austrian magazines,en,1
Austrian media landscape,en,1
Austrian newspapers,en,1
Austrian Press Agency,en,1
Austrian press releases,en,1
Bauaufnahme,"",1
Beförderungsdienstfrist,de,1
Beleidigung,de,1
Beschlagnahme aufgehoben,de,1
Bildungsreform,de,1
Bronze Age sites,en,1
Bundespolizeidirektion,de,1
Chalcholithic sites,en,1
City District,en,1
Concert of Europe,en,1
Congress files,en,1
Congress of Aix-la-chapelle,en,1
Congress of Laibach,en,1
Congress of Troppau,en,1
Congress of Verona,en,1
Congress of Vienna,en,1
Congress System,en,1
controlled vocabulary,"",1
Co-Principality,en,1
C.V.VER,de,1
Darlehen zurückbezahlt,de,1
data,"",1
data model,"",1
Digital Edition,de,1
digitisation,en,1
Digitization,"",1
Diplomatiegeschichte,de,1
Drohung,de,1
E.F.AEI,de,1
E.F.AUF,de,1
E.F.BES,de,1
E.F.DAR,de,1
E.F.ERK,de,1
E.F.HON,de,1
E.F.RUE,de,1
