"id","value","qualification","property","lang","notes_lang","variants","singular form"
386,D.K.RAD,,hasSubject,und,DAACDA,,
387,Gemeindewahlrecht,,hasSubject,de,,,
388,K.K.BER,,hasSubject,und,DAACDA,,
389,Lohnverhandlung,,hasSubject,de,,,
390,Militarismus,,hasSubject,de,,,
391,Privatrecht,,hasSubject,de,,,
392,Radiogramm,,hasSubject,de,,,
393,R.F.PRI,,hasSubject,und,DAACDA,,
394,Typoskript mit handschriftlicher Mitteilung,,hasSubject,de,,,
395,Vertrag,,hasSubject,de,,,
396,Zahlungseingangsbestätigung,,hasSubject,de,,,
397,Zeitung,,hasSubject,de,,,
398,Aktennotiz,,hasSubject,de,,,
399,Ansuchen,,hasSubject,de,,,
400,Aufstellung,,hasSubject,de,,,
401,D.J.AFS,,hasSubject,und,DAACDA,,
402,D.J.AKN,,hasSubject,und,DAACDA,,
403,D.J.ANS,,hasSubject,und,DAACDA,,
404,Hofgericht,,hasSubject,de,,,
405,Kommissionsbezirk der Provinzstadt,,hasSubject,de,,,
406,military frontier,,hasSubject,en,,,
407,polyglot dictionary,,hasSubject,en,,,
408,18. Jahrhundert,,hasSubject,de,,achtzehntes Jahrhundert,
409,Abrechnung,,hasSubject,de,,,
410,Bibliographie,,hasSubject,de,,,
411,bibliography,,hasSubject,en,,,
412,Crown land,,hasSubject,en,,"crown land, crownland",
413,D.J.ABR,,hasSubject,und,DAACDA,,
414,D.J.ANW,,hasSubject,und,DAACDA,,
415,D.J.VSR,,hasSubject,und,DAACDA,,
416,D.L,,hasSubject,und,DAACDA,,
417,Korrespondenz,,hasSubject,de,,,
418,Liste,jur.,hasSubject,de,,,
419,literarischer Text,,hasSubject,de,,,
420,publizistisches Dokument,,hasSubject,de,,,
421,Rechtsnachfolge,,hasSubject,de,,,
422,Sozialgeschichte,,hasSubject,de,,,
423,Tirol,,hasSubject,de,,,
424,Versetzung,,hasSubject,de,,,
425,Versicherung,,hasSubject,de,,,
426,Vertrauensmänner,,hasSubject,de,,,Vertrauensmann
427,Anfrage,,hasSubject,de,,,
428,Anweisung,,hasSubject,de,,,
429,Aufforderung,,hasSubject,de,,,
430,Berufungsschrift,,hasSubject,de,,,
431,D.J.AFD,,hasSubject,und,DAACDA,,
432,D.J.ANF,,hasSubject,und,DAACDA,,
433,D.J.BRS,,hasSubject,und,DAACDA,,
434,D.J.EIN,,hasSubject,und,DAACDA,,
435,D.J.GTS,,hasSubject,und,DAACDA,,
436,D.J.KBS,,hasSubject,und,DAACDA,,
437,D.J.KLB,,hasSubject,und,DAACDA,,
438,D.J.RUK,,hasSubject,und,DAACDA,,
439,D.J.SAT,,hasSubject,und,DAACDA,,
440,D.K.NCH,,hasSubject,und,DAACDA,,
441,D.K.UMS,,hasSubject,und,DAACDA,,
442,E.F.ZUR,,hasSubject,und,DAACDA,,
443,Einspruch,,hasSubject,de,,,
444,Fotografie,Material,hasSubject,de,,,
445,free city,,hasSubject,en,,,
446,Gesandtenkonferenz,,hasSubject,de,,,
447,Gutschrift,,hasSubject,de,,,
448,Hofmark,,hasSubject,de,,,
449,K.K.VER,,hasSubject,und,DAACDA,,
450,Klagebeantwortung,,hasSubject,de,,,
451,Klagsrückziehung,,hasSubject,de,,,
452,Kostenbestimmungsbeschluss,,hasSubject,de,,,
453,Nachricht,,hasSubject,de,,,
454,online site database,,hasSubject,en,,,
455,politische Parteien,,hasSubject,de,,,politische Partei
456,republic,,hasSubject,en,,,
457,R.F.VER,,hasSubject,und,DAACDA,,
458,Staatsangestelltenrat,,hasSubject,de,,,
459,Strafantrag,,hasSubject,de,,,
460,Straferkenntnis,,hasSubject,de,,,
461,Verlagswesen,,hasSubject,de,,,
462,Verwaltungsrecht,,hasSubject,de,,,
463,Zurückziehung der Klage,,hasSubject,de,,,
464,archduchy,,hasSubject,en,,,
465,C.K.KOR,,hasSubject,und,DAACDA,,
466,Crown colony,,hasSubject,en,,,
467,C.Z.UNS,,hasSubject,und,DAACDA,,
468,Disziplinarrecht,,hasSubject,de,,,
469,D.J.DOS,,hasSubject,und,DAACDA,,
470,D.J.KSZ,,hasSubject,und,DAACDA,,
471,Dossier,,hasSubject,de,,,
472,D.P,,hasSubject,und,DAACDA,,
473,Druck mit handschriftlichen Überarbeitungen,,hasSubject,de,,,
474,E.F.EIN,,hasSubject,und,DAACDA,,
475,eingestellt,,hasSubject,de,,,
476,Entente,,hasSubject,de,,,
477,Kassazettel,,hasSubject,de,,,
478,Lebensumstände,,hasSubject,de,,,Lebensumstand
479,Memorandum,,hasSubject,de,,,
480,military district,,hasSubject,en,,,
481,Nachkriegskrise,,hasSubject,de,,,
482,Nationalität,,hasSubject,de,,,
483,princely county,,hasSubject,en,,Princely County,
484,professional business conversation,,hasSubject,en,,,
485,professional research working group discussion,,hasSubject,en,,professional science working group discussion,
486,provincial government,,hasSubject,en,,,
487,Systemisierung,,hasSubject,de,,,
488,tschechoslowakische Regierung,,hasSubject,de,,,
489,unstreitige Zivilrechtssache,,hasSubject,de,,,
490,Vergeltung,,hasSubject,de,,,
491,Zensur,,hasSubject,de,,,
492,Ablehnung,,hasSubject,de,,,
493,Anklage-Kundmachung,,hasSubject,de,,,
494,Anzeige,,hasSubject,de,,,
495,Arbeiterrätin,,hasSubject,de,,,
496,Aufgabeschein,,hasSubject,de,,,
497,Bekanntgabe,,hasSubject,de,,,
498,Berichtigung,,hasSubject,de,,,
499,Bundesverfassung,,hasSubject,de,,,
500,capacity,,hasSubject,en,,,
501,CIDOC CRM,,hasSubject,und,abbreviation,CIDOC Conceptual Reference Model,
502,commissary district,,hasSubject,en,,,
503,condominium,,hasSubject,en,,,
504,data integration,,hasSubject,en,,,
505,district,,hasSubject,en,,,
506,D.J.ABL,,hasSubject,und,DAACDA,,
507,D.J.AKU,,hasSubject,und,DAACDA,,
508,D.J.ANZ,,hasSubject,und,DAACDA,,
509,D.J.BEK,,hasSubject,und,DAACDA,,
510,D.J.EGE,,hasSubject,und,DAACDA,,
511,D.J.EXB,,hasSubject,und,DAACDA,,
512,D.J.GPK,,hasSubject,und,DAACDA,,
513,D.J.GUT,,hasSubject,und,DAACDA,,
514,D.J.INF,,hasSubject,und,DAACDA,,
515,D.J.MEM,,hasSubject,und,DAACDA,,
516,D.J.MST,,hasSubject,und,DAACDA,,
517,D.J.REK,,hasSubject,und,DAACDA,,
518,D.J.SRA,,hasSubject,und,DAACDA,,
519,D.J.SVA,,hasSubject,und,DAACDA,,
520,D.J.VFB,,hasSubject,und,DAACDA,,
521,D.K.AGS,,hasSubject,und,DAACDA,,
522,D.K.PAW,,hasSubject,und,DAACDA,,
523,D.S.FOT,,hasSubject,und,DAACDA,,
524,D.S.PGH,,hasSubject,und,DAACDA,,
525,Durchschlag mit handschriftlicher Mitteilung,,hasSubject,de,,,
526,E.F.GBU,,hasSubject,und,DAACDA,,
527,Eingabe,,hasSubject,de,,,
528,Exekutionsbewilligung,,hasSubject,de,,,
529,Fortbildung,,hasSubject,de,,,
530,function,,hasSubject,en,,,
531,Gedächtnisprotokoll,,hasSubject,de,,,
532,Geldbuße,,hasSubject,de,,,
533,Gutachten,,hasSubject,de,,,
534,imperial free city,,hasSubject,en,,Imperial Free City,
535,Information,,hasSubject,de,,,
536,K.P.NAT,,hasSubject,und,DAACDA,,
537,Manuskript mit handschriftlichen Annotationen,,hasSubject,de,,,
538,margraviate,,hasSubject,en,,margravate,
539,mining captaincy,,hasSubject,en,,,
540,Nationalsozialismus,,hasSubject,de,,,
541,Neolithic Greece,,hasSubject,en,,,
541,Neolithic Anatolia,,hasSubject,en,,,
542,none,,hasSubject,en,,,
543,Phonogrammarchiv,,hasSubject,de,,,
544,politische Verhältnisse,,hasSubject,de,,,
545,Postanweisung,,hasSubject,de,,,
546,Programmheft,,hasSubject,de,,,
547,quarter,,hasSubject,en,,,
548,Rekurs,,hasSubject,de,,,
549,Selbstbestimmungsrecht,,hasSubject,de,,,
550,shape,,hasSubject,en,,,
