value,value_correct,lang,lang_correct,lang_correct_comments,property,count,id,singular_form,main_part,qualifier,main_label,variants,swap_order,2022-07-15: Nichtbeachtung weil,2022-07-15: Anmerkung,2022-07-15: Klassifizierung,2022-07-15: Comments by Seta,2022-09-15: Category,2022-09-15: Action,2022-09-15: Note DS,2022-09-23: Nichtbeachtung weil,2022-09-23: Anmerkung,2022-09-23 hasSubject_ARCHAEOLOGY: include?,2022-09-23 hasSubject_ARCHAEOLOGY: notes,2022-09-29: ARCHEgroup,2022-09-29: inARCHEmappedAs,2022-09-29: skos:match,2022-09-29: Vocabulary,2022-09-29: Notes,2022-09-29_xlsx: ARCHEgroup,2022-09-29_xlsx: skos:match,2022-09-29_xlsx: Vocabulary,2022-09-29_xlsx: Notes
Bevollmächtiger,Bevollmächtigter,de,,,hasSubject,15,,,,,,,,,,Rechtliches,,,,,,,,,,,,,,,,,
Beweisabschluss,,de,,,hasSubject,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beweisantrag,,de,,,hasSubject,21,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Bezirksamt,,en,de,,hasSubject,318,,,,,,,,,,Organisation/Einrichtung,,,Exclude from Vocabulary,too detailed,,,,,,,,,,Organisation/Einrichtung,,,
Bibliographie,,de,,,hasSubject,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
bibliography,,en,,,hasSubject,7,,,,,,,,,"Übersetzung von ""Bibliographie""",Mediengattung,,,,,,"Übersetzung von ""Bibliographie""",,,,,,,,Mediengattung,,,
Bibliography,bibliography,,en,,hasSubject,2,,,,,,,,,"Übersetzung von ""Bibliographie""",,,,,,,"Übersetzung von ""Bibliographie""",,,,,,,,Mediengattung,,,"also existing as ""bibliography"""
Bild,,de,,,hasCategory,188461,48512,,,,,,,,,,,,,,,,,,,,,,,,,,
Bildungsreform,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bitte,,de,,,hasSubject,22,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
borehole sampling,,en,,,hasAppliedMethod,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
botany,,en,,,hasSubject,2,,,,,,,,,,,,,,,,,,,archaeology,botanical remains,,,,archaeology,,,
Brief,,de,,,hasSubject,2293,,,,,,,,,,Mediengattung,,,,,,,,,,,,,,Mediengattung,,,
Briefausgabe,,de,,,hasSubject,2,,,,,,,,,,keine der anderen Kategorien,,,,,,,,,,,,,,,,,
Briefumschlag,,de,,,hasSubject,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bronze Age sites,,en,,,hasSubject,1,,Bronze Age site,,,,,,,,,,,,,,,,,,,,,,,,,
Bronzefund,,de,,,hasSubject,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buchgeschichte,,de,,,hasSubject,126,,,,,,,,Disziplin,,,,,,,Disziplin,,,,,,,,,,,,
Bundesländer,,de,,,hasSubject,11,,Bundesland,,,,,,,,,,,,,,,,,,,,,,,,,
Bundespolizeidirektion,,de,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesverfassung,,de,,,hasSubject,4,,,,,,,,,,formale Klassifizierung des verschlagworteten Gegestands,,,,,,,,,,,,,,,,,
Bürgerkrieg,,de,,,hasSubject,3,,,,,,,,,,keine der anderen Kategorien,,,,,,,,,,,,,,,,,
Burgfrieden,,en,de,,hasSubject,10,,,,,,,,,,Rechtliches,,,,,,,,,,,,,,,,,
Byzantinische Burg,byzantinische Burg,,de,,hasSubject,21,,,,,,,,,,,,,,,,,archaeology,,archaeology,,,,,archaeology,,,
C.K.KOR,,de,,,hasSubject,5,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
C.P.VER,,de,,,hasSubject,3,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
C.S.PRE,,de,,,hasSubject,69,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
C.S.PRI,,de,,,hasSubject,135,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
C.V.VER,,de,,,hasSubject,1,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
C.Z.STR,,de,,,hasSubject,12,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
C.Z.UNS,,de,,,hasSubject,5,,,,,,,,zu speziell/nicht wiederverwendbar,,,,,,,zu speziell/nicht wiederverwendbar,,,,zu speziell/nicht wiederverwendbar,,,,,zu speziell/nicht wiederverwendbar,,,
Canabae,canabae,,la,,hasSubject,21,,canaba,,,,,,,,,,,,,,,archaeology,,archaeology,,,,,archaeology,,,
canal,,en,,,hasSubject,7,,,,,,,,,,,,,,,,,archaeology,P4D,,,,,,,,,
capacity,,,en,,hasSubject,4,,,,,,,,,,,,,,,,,archaeology,capacity of a vessel,archaeology,,,,,archaeology,,,
cave,,en,,,hasSubject,2,,,,,,,,,,,,,,,,,archaeology,,archaeology,,,,,archaeology,,,
cemetery,,en,,,hasSubject,9,,,,,,,,,,,,,,,,,archaeology,,archaeology,,,,,archaeology,,,
Chalcholithic sites,Chalcolithic sites,en,,,hasSubject,1,,Chalcolithic site,,,,,,,,,,,,,,,,,,,,,,,,,
chapel,,en,,,hasSubject,7,,,,,,,,,,,,,,,,,archaeology,P4D,,,,,,,,,
Christlich-sozial,christlich-sozial,de,,,hasSubject,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
CIDOC CRM,,,und,mixed abbreviation,hasSubject,4,,,,,,,,,,Methode/Technik,,,,,,,,,,,,,,Methode/Technik,,,
City District,city district,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Co-Principality,co-principality,en,,,hasSubject,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collection,,en,,,hasCategory,180,48551,,,,,,,,,,,,,,,,,,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/collection,,,skos:exactMatch,https://vocabs.acdh.oeaw.ac.at/archecategory/collection,
Commissariat,commissariat,en,,,hasSubject,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissary District,commissary district,en,,,hasSubject,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
