value,lang,property,count,id,delete,separate,remove_trailing_space
Edition,de,hasSubject,2,,,,
educational,en,hasSubject,12,,,,
educational conversation,en,hasSubject,20,,,,
educational interview,en,hasSubject,25,,,,
educational seminar discussion,en,hasSubject,30,,,,
educational service encounter,en,hasSubject,25,,,,
educational working group discussion,en,hasSubject,25,,,,
educational workshop discussion,en,hasSubject,50,,,,
Ehrenbeleidigung,de,hasSubject,35,,,,
Ehrenerklärung,de,hasSubject,2,,,,
Ehrenkränkung,de,hasSubject,1,,,,
Eingabe,de,hasSubject,4,,,,
Eingestellt,de,hasSubject,5,,,,
Einigung,de,hasSubject,1,,,,
Einspruch,de,hasSubject,6,,,,
Electorate,en,hasSubject,1,,,,
electrical resistivity imaging,en,hasAppliedMethod,1,,,,
Empire,en,hasSubject,24,,,,
English as a lingua franca,en,hasSubject,787,,,,
Entente,de,hasSubject,5,,,,
Entschuldigung,de,hasSubject,2,,,,
Entwurf,de,hasSubject,2,,,,
Entwurf (jur.),de,hasSubject,49,,,,
Ergänzung,de,hasSubject,16,,,,
Erhaltsbestätigung,de,hasSubject,41,,,,
Erklärung (Ausgang),de,hasSubject,1,,,,
Erklärung (jur.),de,hasSubject,26,,,,
Erlagschein,de,hasSubject,14,,,,
Ernennung,de,hasSubject,13,,,,
Eröerterung,de,hasSubject,2,,,,
Erpressung,de,hasSubject,3,,,,
Ersatzanspruch,de,hasSubject,2,,,,
European Concert of Powers,en,hasSubject,1,,,,
excavation,en,hasAppliedMethod,1,,,,
excavation data,en,hasSubject,1,,,,
Exekutionsausweis,de,hasSubject,2,,,,
Exekutionsbewilligung,de,hasSubject,4,,,,
Expensen-Note,de,hasSubject,2,,,,
Fachprüfung,de,hasSubject,1,,,,
Falsche Zeugenaussage,de,hasSubject,2,,,,
Fernerkundung,,hasAppliedMethod,2,,,,
Fieldwork archive,en,hasSubject,3,,,,
Föderalismus,de,hasSubject,11,,,,
Forderung bezahlt,de,hasSubject,3,,,,
Forschungsgeschichte,,hasSubject,21,,,,
Fortbildung,de,hasSubject,4,,,,
Fotografie,de,hasSubject,2,,,,
Fotografie (Mat.),de,hasSubject,6,,,,
Fotografie (Obj.),de,hasSubject,2,,,,
Fotografien,de,hasSubject,11,,,,
französische Regierung,de,hasSubject,1,,,,
