subject;count;ARCHEsourceProperty
Siedlungstopographie;21;hasSubject
ZurÃ¼ckweisung;1;hasSubject
Revisionsbeantwortung;2;hasSubject
Hans LiebstÃ¶ckl;1;hasSubject
Kongress von Verona;1;hasSubject
Klagebeantwortung;6;hasSubject
TEI;1;hasSubject
T.F.EHK;1;hasSubject
professional research/science interview;30;hasSubject
Notiz;26;hasSubject
franzÃ¶sische Regierung;1;hasSubject
Koalitionsrecht;1;hasSubject
Manuskript mit handschriftlicher Mitteilung;2;hasSubject
Durchschlag mit handschriftlichen Ãœberarbeitungen;208;hasSubject
D.J.ZEB;9;hasSubject
Imre BÃ©kessy;1;hasSubject
Austrian Press Agency;1;hasSubject
D.J.AKT;2;hasSubject
Neolithic sites;1;hasSubject
GefÃ¤hrliche Drohung;1;hasSubject
educational working group discussion;25;hasSubject
T.F.REB;1;hasSubject
pottery;361;hasSubject
Quarter;4;hasSubject
K.K.VER;6;hasSubject
Second world war;959;hasSubject
Ontologie;2;hasSubject
FachprÃ¼fung;1;hasSubject
D.J.BER;10;hasSubject
Ehrenbeleidigung;35;hasSubject
Privatanklagedelikt;135;hasSubject
D.J.KON;10;hasSubject
search manual;1;hasSubject
Austrian magazines;1;hasSubject
High-Bailiwick;14;hasSubject
D.J.ENT;2;hasSubject
D.P.ZTG;14;hasSubject
Fotografien;11;hasSubject
panel;32;hasSubject
pottery fragments;11805;hasSubject
T.F.PER;1;hasSubject
Schriftsatz;84;hasSubject
D.J.ARF;2;hasSubject
D.J.MIT;37;hasSubject
Geldstrafe;2;hasSubject
Plagiat;1;hasSubject
Laufbahn (Folgen);1;hasSubject
D.J.RUK;6;hasSubject
Staatsangestelltenrat;6;hasSubject
E.F.NIC;10;hasSubject
Condominium;4;hasSubject
English as a lingua franca;787;hasSubject
Erpressung;3;hasSubject
fieldwork archive;2;hasSubject
RÃ¼ckschein;78;hasSubject
Bescheid;15;hasSubject
Zustellung;3;hasSubject
Strafanzeige;22;hasSubject
T.F.VVL;4;hasSubject
Zwischenkriegszeit;958;hasSubject
E.F.AGE;48;hasSubject
tschechoslowakisches MilitÃ¤r;1;hasSubject
Medienwissenschaft;11;hasSubject
Eingabe;4;hasSubject
Verlautbarung;2;hasSubject
D.P.ZTA;352;hasSubject
Bibliography;2;hasSubject
Military Government;1;hasSubject
Friedensverhandlungen;10;hasSubject
Abrechnung;7;hasSubject
D.J;3;hasSubject
written language in public space;1;hasSubject
Tirol;7;hasSubject
Protest;2;hasSubject
Strafverfahrensakt;4;hasSubject
ZahlungseingangsbestÃ¤tigung;9;hasSubject
E.F.SCH;1;hasSubject
Durchschlag mit handschriftlichen Annotationen;185;hasSubject
D.J.UMS;44;hasSubject
Rechtsgeschichte;11;hasSubject
Duchy;33;hasSubject
Ausbildung;11;hasSubject
County;177;hasSubject
Beschwerde;32;hasSubject
thesaurus;3;hasSubject
C.S.PRE;69;hasSubject
Ladung;87;hasSubject
Occupied Territory;2;hasSubject
D.J.BEK;4;hasSubject
D.J.ANK;2;hasSubject
Soziale FÃ¼rsorge;2;hasSubject
Pfleggericht;3;hasSubject
Sonstiger Rechtsbereich;50;hasSubject
Provincial Government;5;hasSubject
D.J.BEB;2;hasSubject
Liste;2;hasSubject
Kongress von Laibach;1;hasSubject
professional organizational;12;hasSubject
D.J.MST;4;hasSubject
ArbeiterrÃ¤tin;4;hasSubject
Alfred Kerr;1;hasSubject
Exekutionsbewilligung;4;hasSubject
C.V.VER;1;hasSubject
Ãœbersetzung;29;hasSubject
Munizipium;21;hasSubject
Qualifikationsbeschwerde;1;hasSubject
ErÃ¶erterung;2;hasSubject
D.J.AUF;27;hasSubject
Ernennung;13;hasSubject
TLS;1;hasSubject
S.F.PIS;1;hasSubject
D.J.VFB;4;hasSubject
D.J.KOB;14;hasSubject
Geist (moderner);3;hasSubject
ZurÃ¼ckweisung (jur.);2;hasSubject
ZurÃ¼cknahme;10;hasSubject
polyglot dictionary;8;hasSubject
Diplomatiegeschichte;1;hasSubject
D.J.ABR;7;hasSubject
Urteil;109;hasSubject
Ablehnung;4;hasSubject
ErgÃ¤nzung;16;hasSubject
Commissariat;2;hasSubject
AktenÃ¼bersicht;2;hasSubject
D.J.RMA;2;hasSubject
RÃ¼ckzahlung;1;hasSubject
Honorar;1;hasSubject
Order of the Golden Fleece;2;hasSubject
Fundzeichnungen;1;hasSubject
data;1;hasSubject
Vikariat;4;hasSubject
Akt;2;hasSubject
Sozialgeschichte;7;hasSubject
Transkribus;1;hasSubject
Archivrecherchen;21;hasSubject
Programmheft;4;hasSubject
