hasSubject;Häufigkeit;Nichtbeachtung weil;Aufnahme weil;Anmerkung
Typoskript mit handschriftlicher Mitteilung;9;;;"Ähnlichkeit mit ""Typoskript mit handschriftlichen Annotationen"""
Vertrag;9;;;
Zahlungseingangsbestätigung;9;;;
Zeitung;9;;;
Aktennotiz;8;;;
Ansuchen;8;;;
Aufstellung;8;;;
D.J.AFS;8;zu speziell/nicht wiederverwendbar;;
D.J.AKN;8;zu speziell/nicht wiederverwendbar;;
D.J.ANS;8;zu speziell/nicht wiederverwendbar;;
Hofgericht;8;;;
Kommissionsbezirk der Provinzstadt;8;;;
Military Frontier;8;;;
polyglot dictionary;8;;;
18. Jahrhundert;7;Periode/Phase;;
Abrechnung;7;;;
Bibliographie;7;;;
bibliography;7;;;"Übersetzung von ""Bibliographie"""
Crownland;7;;;
D.J.ABR;7;zu speziell/nicht wiederverwendbar;;
D.J.ANW;7;zu speziell/nicht wiederverwendbar;;
D.J.VSR;7;zu speziell/nicht wiederverwendbar;;
D.L;7;zu speziell/nicht wiederverwendbar;;
Korrespondenz;7;;;
Liste (jur.);7;;;
Literarischer Text;7;;;
Publizistisches Dokument;7;;;
Rechtsnachfolge;7;;;
Sozialgeschichte;7;Disziplin;;
Tirol;7;Ort;;
Versetzung;7;;;
Versicherung;7;;;
Vertrauensmänner;7;;;
Anfrage;6;;;
Anweisung;6;;;
Aufforderung;6;;;
Berufungsschrift;6;;;
D.J.AFD;6;zu speziell/nicht wiederverwendbar;;
D.J.ANF;6;zu speziell/nicht wiederverwendbar;;
D.J.BRS;6;zu speziell/nicht wiederverwendbar;;
D.J.EIN;6;zu speziell/nicht wiederverwendbar;;
D.J.GTS;6;zu speziell/nicht wiederverwendbar;;
D.J.KBS;6;zu speziell/nicht wiederverwendbar;;
D.J.KLB;6;zu speziell/nicht wiederverwendbar;;
D.J.RUK;6;zu speziell/nicht wiederverwendbar;;
D.J.SAT;6;zu speziell/nicht wiederverwendbar;;
D.K.NCH;6;zu speziell/nicht wiederverwendbar;;
D.K.UMS;6;zu speziell/nicht wiederverwendbar;;
E.F.ZUR;6;zu speziell/nicht wiederverwendbar;;
Einspruch;6;;;
Free City;6;;;
Gesandtenkonferenz;6;;;
Gutschrift;6;;;
Hofmark;6;;;
K.K.VER;6;zu speziell/nicht wiederverwendbar;;
Klagebeantwortung;6;;;
Klagrückziehung;6;;;
Kostenbestimmungsbeschluss;6;;;
Nachricht;6;;;
Politische Parteien;6;;;
R.F.VER;6;zu speziell/nicht wiederverwendbar;;
Republic;6;;;
Staatsangestelltenrat;6;;;
Strafantrag;6;;;
Straferkenntnis;6;;;
Verlagswesen;6;;;
Verwaltungsrecht;6;Disziplin;;
Zurückziehung der Klage;6;;;
Archduchy;5;;;
C.K.KOR;5;zu speziell/nicht wiederverwendbar;;
C.Z.UNS;5;zu speziell/nicht wiederverwendbar;;
Crown Colony;5;;;
D.J.DOS;5;zu speziell/nicht wiederverwendbar;;
D.J.KSZ;5;zu speziell/nicht wiederverwendbar;;
D.P;5;zu speziell/nicht wiederverwendbar;;
Disziplinarrecht;5;Disziplin;;
Dossier;5;;;
E.F.EIN;5;zu speziell/nicht wiederverwendbar;;
Eingestellt;5;;;
Entente;5;;;
Kassazettel;5;;;
Lebensumstände;5;zu allgemein/nicht aussagekräftig;;
Memorandum;5;;;
Military District;5;;;
Nachkriegskrise;5;;;
Nationalität;5;;;
Princely County;5;;;
professional business conversation;5;;;
