"id","value","property","lang","notes_lang","remove trailing space","correct to","variants"
825,Gremium,hasSubject,de,,,,
826,Großdeutsche Volkspartei,hasSubject,de,,,,
830,Honorar,hasSubject,de,,,,
832,Indiskretion,hasSubject,de,,,,
836,Karten,hasSubject,de,,,,
837,Klage wegen Forderung,hasSubject,de,,,,
838,Koalitionsrecht,hasSubject,de,,,,
839,Kongressakten,hasSubject,de,,,,
840,Kongress von Aachen,hasSubject,de,,,,
841,Kongress von Laibach,hasSubject,de,,,,
842,Kongress von Troppau,hasSubject,de,,,,
843,Kongress von Verona,hasSubject,de,,,,
844,Konterrevolution,hasSubject,de,,,,
845,Kronos-Verlag,hasSubject,de,,,,Kronos Verlag
851,Laufbahn,hasSubject,de,,,,
852,Laufbahn (Folgen),hasSubject,de,,,,
856,Mächtekongress,hasSubject,de,,,,
857,Mächtekonzert,hasSubject,de,,,,
858,Magnetik,hasSubject,de,,,,
865,Monarchenkongresse,hasSubject,de,,,,
866,Mörtelproben,hasSubject,de,,,,
867,Nachrede,hasSubject,de,,,,
871,Opferbereitschaft,hasSubject,de,,,,
873,Österreich 1849-1860,hasSubject,de,,,,
875,Pauperisierung,hasSubject,de,,,,
877,Persönlichkeitsrechtsverletzung,hasSubject,de,,,,
878,Plagiat,hasSubject,de,,,,
881,Profilzeichnungen,hasSubject,de,,,,
882,Qualifikationsbeschwerde,hasSubject,de,,,,
885,Rückzahlung,hasSubject,de,,,,
886,Rufschädigung,hasSubject,de,,,,
887,Schadensersatz,hasSubject,de,,,,
888,Scheitern der Exekution,hasSubject,de,,,,
890,Schloss,hasSubject,de,,,,
891,Schweiz,hasSubject,de,,,,
893,Selbstverwaltung,hasSubject,de,,,,
908,Staatsbediensteten-Kommission,hasSubject,de,,,,
910,Sühne,hasSubject,de,,,,
935,tschechoslowakisches Militär,hasSubject,de,,,,
936,Umsiedlung,hasSubject,de,,,,
940,Urheberrechtsverletzung (Bel.),hasSubject,de,,,,
941,Verhaftung,hasSubject,de,,,,
942,Verletzung des Rechts am eigenen Bild,hasSubject,de,,,,
943,Verleumdung,hasSubject,de,,,,
944,Vermessung,hasSubject,de,,,,
945,Versetzung außerhalb Wiens,hasSubject,de,,,,
946,Versteigerung,hasSubject,de,,,,
947,Verwaltungsrechtssache,hasSubject,de,,,,
950,Wiener Kongress,hasSubject,de,,,,
953,Zurückweisung,hasSubject,de,,,,
012,XML/TEI (P5),hasAppliedMethod,en,abbreviation,,,
013,OCR,hasAppliedMethod,en,abbreviation,,,optical character recognition
028,SKOS Simple Knowledge Organization System,hasAppliedMethod,en,abbreviation,,,
046,"OCR, XML/TEI structural and semantic annotation",hasAppliedMethod,en,abbreviation,,,
066,XML/TEI,hasCategory,en,abbreviation,,,
819,GPR,hasSubject,en,abbreviation,,,"ground-penetrating radar, ground penetrating radar"
912,TEI,hasSubject,en,abbreviation,,,Text Encoding Initiative
952,XML,hasSubject,en,abbreviation,,,Extensible Markup Language
