"id","value","property","lang","correct_lang"
642,D.J.RVA,hasSubject,de,
643,D.J.RVS,hasSubject,de,
644,D.J.STG,hasSubject,de,
645,D.J.STZ ,hasSubject,de,
646,D.J.TST,hasSubject,de,
647,D.J.UBS,hasSubject,de,
648,D.J.UBW,hasSubject,de,
649,D.J.VLB,hasSubject,de,
650,D.J.VRF,hasSubject,de,
651,D.J.VRG,hasSubject,de,
652,D.J.ZRW,hasSubject,de,
653,D.J.ZVP,hasSubject,de,
654,D.K.AAS,hasSubject,de,
655,D.K.LIS,hasSubject,de,
656,D.L.GED,hasSubject,de,
657,Druck mit handschriftliche Annotationen/Notate/Notizen,hasSubject,de,
658,D.S.LSZ,hasSubject,de,
659,D.S.PLK,hasSubject,de,
660,Durchschlag mit sonstigen Schreibspuren,hasSubject,de,
661,Edition,hasSubject,de,
662,E.F.AEE,hasSubject,de,
663,E.F.GEL,hasSubject,de,
664,Ehrenerklärung,hasSubject,de,
665,Entschuldigung,hasSubject,de,
666,Entwurf,hasSubject,de,
667,Eröerterung,hasSubject,de,
668,Ersatzanspruch,hasSubject,de,
669,Exekutionsausweis,hasSubject,de,
670,Expensen-Note,hasSubject,de,
671,Falsche Zeugenaussage,hasSubject,de,
672,fieldwork archive,hasSubject,en,
673,Fotografie,hasSubject,de,
674,Fotografie (Obj.),hasSubject,de,
675,Friedrich Austerlitz,hasSubject,de,delete
676,Fundbearbeitung,hasSubject,,de
677,Gedicht,hasSubject,de,
678,Geldstrafe,hasSubject,de,
679,grave,hasSubject,en,
680,group designations,hasSubject,en,
681,Historical Network Research,hasSubject,en,
682,Holy Roman Empire,hasSubject,en,
683,Hüyücektepe,hasSubject,,
684,Internationales Postrecht,hasSubject,de,
685,Kostennote,hasSubject,de,
686,Lesezeichen,hasSubject,de,
687,Leumundsnote,hasSubject,de,
688,linked open data,hasSubject,,en
689,Liste,hasSubject,de,
690,Liste (korr.),hasSubject,de,
691,Literarisches Werk,hasSubject,de,
692,lithics,hasSubject,en,
693,Lokalpolitik,hasSubject,de,
694,Luftkrieg,hasSubject,de,
695,Mandat (politisches),hasSubject,de,
696,Manuskript mit handschriftlicher Mitteilung,hasSubject,de,
697,"Mappe, M.S.MAP ",hasSubject,de,
698,Marie Turnowsky,hasSubject,de,delete
699,Marktgericht,hasSubject,en,de
700,material culture,hasSubject,,en
701,Medieval Austria,hasSubject,en,
702,Medieval Germany,hasSubject,en,
