id;value;qualification;property;lang;notes_lang;variants;singular form
789;Straferkenntnis;;hasSubject;de;;;
790;Strafrecht;;hasSubject;de;;;
791;Strafregisterauszug;;hasSubject;de;;;
792;Strafverfahrensakt;;hasSubject;de;;;
793;Streik;;hasSubject;de;;;
794;streitige Zivilrechtssache;;hasSubject;de;;;
797;Sühne;;hasSubject;de;;;
799;Survey;;hasAppliedMethod;de;;;
800;Surveyartefakte;;hasSubject;de;;;Surveyartefakt
801;Systemisierung;;hasSubject;de;;;
828;tabellarisches Datenset;;hasCategory;de;;;
831;Tagebuch;;hasSubject;de;;;
832;Tagebücher;;hasSubject;de;;;
836;Telegramm;;hasSubject;de;;;
837;terrestrischer Laserscan;;hasAppliedMethod;de;;;
838;Testament;;hasSubject;de;;;
840;Text;;hasCategory;de;;;
842;Theater;;hasSubject;de;;;
845;Tirol;;hasSubject;de;;;
848;Tonaufnahmen;;hasSubject;de;;;Tonaufnahme
853;tschechoslowakische Regierung;;hasSubject;de;;;
854;tschechoslowakischer Staatsdienst;;hasSubject;de;;;
855;tschechoslowakisches Militär;;hasSubject;de;;;
856;Typoskript;;hasSubject;de;;;
857;Typoskript mit handschriftlichen Änderungen;;hasSubject;de;;;
858;Typoskript mit handschriftlichen Annotationen;;hasSubject;de;;;
859;Typoskript mit handschriftlichen Überarbeitungen;;hasSubject;de;;;
860;Typoskript mit handschriftlicher Mitteilung;;hasSubject;de;;;
861;Typoskript mit sonstigen Schreibspuren;;hasSubject;de;;;
862;Übersetzung;;hasSubject;de;;;
863;Überweisung;;hasSubject;de;;;
864;Überweisungsbeschluss;;hasSubject;de;;;
865;Umschlag;;hasSubject;de;;;
866;Umsiedlung;;hasSubject;de;;;
867;unautorisierte Aufführung;;hasSubject;de;;;
868;unbefugte Kolportage;;hasSubject;de;;;
869;Ungleichbehandlung;;hasSubject;de;;;
871;unstreitige Zivilrechtssache;;hasSubject;de;;;
872;Urheberrechtsverletzung;;hasSubject;de;;;
873;Urheberrechtsverletzung (Bel.);Bel.;hasSubject;de;;;
874;Urteil;;hasSubject;de;;;
875;Vereinsfreiheit;;hasSubject;de;;;
876;Verfügung;;hasSubject;de;;;
877;Verfügungsbogen;;hasSubject;de;;;
878;Vergeltung;;hasSubject;de;;;
879;Vergleich;Ausgang;hasSubject;de;;;
880;Verhaftung;;hasSubject;de;;;
881;Verlagswesen;;hasSubject;de;;;
882;Verlassenschaftsabhandlung;;hasSubject;de;;;
883;Verlautbarung;;hasSubject;de;;;
884;Verletzung des Rechts am eigenen Bild;;hasSubject;de;;;
885;Verleumdung;;hasSubject;de;;;
886;Vermessung;;hasAppliedMethod, hasSubject;de;;;
887;Vernehmung;;hasSubject;de;;;
888;Verrechnung;;hasSubject;de;;;
889;Versammlung;;hasSubject;de;;;
890;Versammlungsfreiheit;;hasSubject;de;;;
891;Versetzung;;hasSubject;de;;;
892;Versetzung außerhalb Wiens;;hasSubject;de;;;
893;Versicherung;;hasSubject;de;;;
894;Verständigung;;hasSubject;de;;;
895;Versteigerung;;hasSubject;de;;;
896;Vertrag;;hasSubject;de;;;
897;Vertragsbruch;;hasSubject;de;;;
898;Vertragsverletzung;;hasSubject;de;;;
899;Vertrauensmänner;;hasSubject;de;;;Vertrauensmann
900;Verurteilung;;hasSubject;de;;;
901;Verwaltung;;hasSubject;de;;;
902;Verwaltungsrecht;;hasSubject;de;;;
903;Verwaltungsrechtssache;;hasSubject;de;;;
904;Verzeichnis;;hasSubject;de;;;
906;Vikariat;;hasSubject;de;;;
907;virtuelle Rekonstruktion;;hasAppliedMethod;de;;;
909;Vollmacht;;hasSubject;de;;;
910;Vorrückung;;hasSubject;de;;;
911;Wasserversorgung;;hasSubject;de;;;
912;Wiener Kongress;;hasSubject;de;;;
924;Zahlungsauftrag;;hasSubject;de;;;
925;Zahlungseingangsbestätigung;;hasSubject;de;;;
926;Zahlungsverpflichtung;;hasSubject;de;;;
927;Zeitung;;hasSubject;de;;;
928;Zeitungsartikel;;hasSubject;de;;;
929;Zensur;;hasSubject;de;;;
930;Zeugenaussage;;hasSubject;de;;;
931;Zivilrecht;;hasSubject;de;;;
932;Zurücknahme;;hasSubject;de;;;
933;Zurückweisung;jur.;hasSubject;de;;;
934;Zurückweisung;;hasSubject;de;;;
935;Zurückziehung der Klage;;hasSubject;de;;;
936;Zustellung;;hasSubject;de;;;
937;Zweiter Weltkrieg;;hasSubject;de;;;
938;Zwischenkriegszeit;;hasSubject;de;;;
939;zwischenstaatliche Vereinbarung;;hasSubject;de;;;
940;zwischenstaatliche Verhandlung;;hasSubject;de;;;
4;3D data;;hasCategory;en;;;
5;3D models;;hasSubject;en;;;3D model
6;3D scanning;;hasAppliedMethod;en;;;
16;aerial warfare;;hasSubject;en;;;
34;Arabic linguistics;;hasSubject;en;;;
36;archaeological database;;hasSubject;en;;;
37;archaeological excavation;;hasAppliedMethod;en;;;
38;archaeological sites;;hasSubject;en;;;archaeological site
40;archduchy;;hasSubject;en;;;
42;artefact;;hasSubject;en;;;
